KEY,en,notes,sp,fr,de,it,pt-br,zh
TEAMNAME_NOUN_FIGHTER7,阿尔法,,Alfa,Alphas|male,Alphas,Gli Alfa,Alfas,阿尔法
TEAMNAME_NOUN_FIGHTER8,运动健将,,Atletas,Athlètes|male,Sportskanonen,I Palestrati,Atletas,运动健将
TEAMNAME_NOUN_FIGHTER9,爸爸们,,Forzudos,Papas|male,Daddys,I Paparini,Papais,爸爸们
TEAMNAME_NOUN_FIGHTER10,恶霸,,Abusones,Harceleurs|male,Rabauken,I Bulli,Valentões,恶霸
TEAMNAME_NOUN_FIGHTER11,击打者,,Vapuleadores,Batteurs|male,Schläger,I Pestatori,Espancadores,击打者
TEAMNAME_NOUN_HUNTER0,潜行者,,Acechadores,Désaxés|male,Pirscher,I Segugi,Espreitadores,潜行者
TEAMNAME_NOUN_HUNTER1,游侠,,Guardabosques,Rôdeurs|male,Waldläufer,I Ranger,Guardiões,游侠
TEAMNAME_NOUN_HUNTER2,追踪者,,Rastreadores,Pisteurs|male,Spurensucher,I Tracciatori,Rastreadores,追踪者
TEAMNAME_NOUN_HUNTER3,箭头,,Arqueros,Têtes de flèche|male,Bogenschützen,I Predatori,Batedores,箭头
TEAMNAME_NOUN_HUNTER4,剥皮者,,Desolladores,Écorcheurs|male,Hautabzieher,I Scorticatori,Esfoladores,剥皮者
TEAMNAME_NOUN_HUNTER5,陷阱,,Tramperos,Pièges|male,Fallensteller,Gli Intrappolatori,Armadilhas,陷阱
TEAMNAME_NOUN_HUNTER6,侦查者,,Observadores,Guetteurs|male,Detektive,Gli Osservatori,Olheiros,侦查者
TEAMNAME_NOUN_HUNTER7,神射手,,Francotiradores,Tirailleurs|male,Scharfschützen,I Cecchini,Atiradores de Elite,神射手
TEAMNAME_NOUN_HUNTER8,单|包,,Compañeros,Mutins|male,Meute,I Cercatori,Matilha,单|包
TEAMNAME_NOUN_HUNTER9,野人,,Montaraces,Sauvageons|male,Wildlinge,I Selvaggi,Selvagens,野人
TEAMNAME_NOUN_HUNTER10,自然之子,,Naturalistas,Campagnards|male,Naturburschen,I Silvestri,Naturais,自然之子
TEAMNAME_NOUN_HUNTER11,侦察兵,,Exploradores,Scouts|male,Pfadfinder,Gli Esploratori,Batedores,侦察兵
TEAMNAME_NOUN_HUNTER12,一窝,,Polluelos,Progénitures|female,Brüter,I Discendenti,Ninhada,一窝
TEAMNAME_NOUN_MEDIC0,医生,,Médicos,Médecins|male,Ärzte,I Dottori,Doutores,医生
TEAMNAME_NOUN_MEDIC1,祭司,,Sacerdotes,Curés|male,Priester,I Sacerdoti,Sacerdotes,祭司
TEAMNAME_NOUN_MEDIC2,十字军,,Cruzados,Croisés|male,Kreuzritter,I Crociati,Cruzados,十字军
TEAMNAME_NOUN_MEDIC3,圣经信徒,,Fanáticos,Matrixés de la Bible|male,Bibelfreunde,I Bacchettoni,Fanáticos Religiosos,圣经信徒
TEAMNAME_NOUN_MEDIC4,神之战士,,Templarios,Guerriers divins|male,Gotteskrieger,I Guerrieri di Dio,Guerreiros Divinos,神之战士
TEAMNAME_NOUN_MEDIC5,圣徒,,Santos,Saints|male,Heiligen,I Santi,Santos,圣徒
TEAMNAME_NOUN_MEDIC6,仆人,,Siervos,Serviteurs|male,Diener,I Servitori,Servos,仆人
TEAMNAME_NOUN_MEDIC7,忠诚者,,Fieles,Croyants|male,Gläubigen,I Fedeli,Crentes,忠诚者
TEAMNAME_NOUN_MEDIC8,圣骑士,,Paladines,Paladins|male,Paladine,I Paladini,Paladinos,圣骑士
TEAMNAME_NOUN_MEDIC9,被选中者,,Elegidos,Élus|male,Auserwählten,I Prescelti,Escolhidos,被选中者
TEAMNAME_NOUN_MAGE0,学生,,Estudiantes,Élèves|male,Studenten,Gli Studenti,Estudantes,学生
TEAMNAME_NOUN_MAGE1,巫师,,Brujos,Sorciers|male,Hexenmeister,I Maghi,Magos,巫师
TEAMNAME_NOUN_MAGE2,神秘学者,,Ocultistas,Occultistes|male,Okkultisten,Gli Occultisti,Ocultistas,神秘学者
TEAMNAME_NOUN_MAGE3,魔术师,,Magos,Magiciens|male,Magier,I Prestigiatori,Mágicos,魔术师
TEAMNAME_NOUN_MAGE4,法术投掷者,,Lanzahechizos,Enchanteurs|male,Zauberwirker,I Lanciaincantesimi,Encantadores,法术投掷者
TEAMNAME_NOUN_MAGE5,采集者,,Taumaturgos,Initiés|male,Versammelten,Gli Adunatori,Compiladores,采集者
TEAMNAME_NOUN_MAGE6,万事通,,Sabiondos,Prétentieux|male,Besserwisser,I Saputelli,Sabe-Tudo,万事通
TEAMNAME_NOUN_MAGE7,书虫,,Lectores,Bibliophiles|male,Leseratten,I Topi di Biblioteca,Leitores,书虫
TEAMNAME_NOUN_MAGE8,巫师,,Hechiceros,Sorceleurs|male,Zauberer,Gli Stregoni,Feiticeiros,巫师
TEAMNAME_NOUN_TANK0,岩石,,Pedruscos,Cailloux|male,Steine,I Sassi,Pedras,岩石
TEAMNAME_NOUN_TANK1,胖子们,,Zampabollos,Parpaings|male,Klumpen,I Corpulenti,Pedaços,胖子们
TEAMNAME_NOUN_TANK2,防御者,,Defensores,Défenseurs|male,Verteidiger,I Difensori,Defensores,防御者
TEAMNAME_NOUN_TANK3,大肥佬,,Tragaldabas,Lardons|male,Fettwanste,I Lardosi,Rechonchudos,大肥佬
TEAMNAME_NOUN_TANK4,胖胖们,,Tragones,Enrobés|male,Klöße,I Paffutelli,Gordurosos,胖胖们
TEAMNAME_NOUN_TANK5,砖墙,,Muros,Murs|male,Ziegelmauern,I Fortini,Muralhas,砖墙
TEAMNAME_NOUN_TANK6,线卫,,Armarios,Protecteurs|male,Linebacker,I Centravanti,Zagueiros,线卫
TEAMNAME_NOUN_TANK7,坦克,,Tanques,Tanks|male,Panzer,I Carrarmati,Tanques,坦克
TEAMNAME_NOUN_TANK8,大个子,,Grandullones,Gros tas|male,Supertypen,I Ragazzoni,Garotões,大个子
TEAMNAME_NOUN_TANK9,胖子们,,Gordinflones,Bouboules|male,Dickerchen,I Grassi,Gorduchos,胖子们
TEAMNAME_NOUN_TANK10,面包,,Holgazanes,Miches|female,Moppel,I Manzi,Gordinhos,面包
TEAMNAME_NOUN_TANK11,肿块,,Gandules,Blocs|male,Bullen,I Bitorzoli,Caroços,肿块
TEAMNAME_NOUN_TANK12,乌龟,,Acorazados,Tortues|female,Schildkröten,Le Tartarughe|female,Tartarugas,乌龟
TEAMNAME_NOUN_THIEF0,暗影,,Anónimos,Ombres|female,Schatten,Le Ombre|female,Sombras,暗影
TEAMNAME_NOUN_THIEF1,强盗,,Bandidos,Bandits|male,Banditen,I Banditi,Bandidos,强盗
TEAMNAME_NOUN_THIEF2,恶棍,,Bribones,Canailles|female,Schurken,I Mascalzoni,Cafajestes,恶棍
TEAMNAME_NOUN_THIEF3,作弊者,,Tramposos,Tricheurs|male,Betrüger,Gli Imbroglioni,Safados,作弊者
TEAMNAME_NOUN_THIEF4,骗子,,Estafadores,Arnaqueurs|male,Schwindler,I Truffatori,Enganadores,骗子
TEAMNAME_NOUN_THIEF5,背叛者,,Traidores,Traîtres|male,Verräter,I Pugnalatori,Apunhaladores,背叛者
TEAMNAME_NOUN_THIEF6,小偷,,Ladrones,Voleurs|male,Diebe,I Ladri,Ladrões,小偷
TEAMNAME_NOUN_THIEF7,偷窃者,,Rateros,Brigands|male,Schlitzohren,I Rapinatori,Larápios,偷窃者
TEAMNAME_NOUN_THIEF8,囤积者,,Cleptómanos,Thésauriseurs|male,Hamsterer,Gli Accaparratori,Acumuladores,囤积者
TEAMNAME_NOUN_THIEF9,流氓,,Pícaros,Voyous|male,Gauner,Le Canaglie|female,Rebeldes,流氓
TEAMNAME_NOUN_THIEF10,掠夺者,,Saqueadores,Pillards|male,Plünderer,I Saccheggiatori,Saqueadores,掠夺者
TEAMNAME_NOUN_THIEF11,抢劫者,,Maleantes,Filous|male,Schufte,I Razziatori,Malfeitores,抢劫者
TEAMNAME_NOUN_MONK0,singular|道场,,Monjes,Ceintures noires|female,Samurai,Gli Accademici,singular|Dojo,singular|道场
TEAMNAME_NOUN_MONK1,轮脉,,Chakras,Chakras|male,Chakras,I Chakra,Chakras,轮脉
TEAMNAME_NOUN_MONK2,莲花,,Lotos,Lotus|male,Lotusblüten,I Loti,Lótus,莲花
TEAMNAME_NOUN_MONK3,飞拳,,Golpes,Poings volants|male,Fliegenden Fäuste,I Pugni volanti,Punhos Voadores,飞拳
TEAMNAME_NOUN_MONK4,存在,,Seres,Êtres|male,Wesen,Gli Esseri,Seres,存在
TEAMNAME_NOUN_MONK5,佛教徒,,Budistas,Bouddhistes|male,Buddhisten,I Buddisti,Budistas,佛教徒
TEAMNAME_NOUN_MONK6,武术家,,Ascetas,Artistes martiaux|male,Kampfkünstler,I Maestri di Arti Marziali,Artistas Marciais,武术家
TEAMNAME_NOUN_MONK7,和谐,,Adeptos,Harmonies|female,Harmoniesuchenden,Gli Armonici,Harmonias,和谐
TEAMNAME_NOUN_MONK8,掌,,Acólitos,Paumes|female,Hände,I Palmi,Palmas,掌
TEAMNAME_NOUN_MONK9,隐士,,Ermitaños,Hermites|male,Einsiedler,Gli Eremiti,Eremitas,隐士
TEAMNAME_NOUN_MONK10,singular|门派,,Religiosos,Sectaires|male,Sektenjünger,I Cultisti,singular|Secto,singular|门派
TEAMNAME_NOUN_MONK11,沉睡者,,Dormilones,Dormeurs|male,Schläfer,I Dormienti,Dorminhocos,沉睡者
TEAMNAME_NOUN_MONK12,寓言,,Ejemplos,Paraboles|female,Parabeln,Le Parabole|female,Parábolas,寓言
TEAMNAME_NOUN_DRUID0,动物,,Animales,Animaux|male,Tiere,Gli Animali,Animais,动物
TEAMNAME_NOUN_DRUID1,音乐家,,Músicos,Musiciens|male,Musiker,I Musicisti,Músicos,音乐家
TEAMNAME_NOUN_DRUID2,动物园管理员,,Cuidadores,Amis des bêtes|male,Zoowärter,I Custodi dello Zoo,Zoólogos,动物园管理员
TEAMNAME_NOUN_DRUID3,单数|帮派,,Colegas,Malfrats|male,Grobiane,Le Cosche|female,singular|Gangue,单数|帮派
TEAMNAME_NOUN_DRUID4,集体,,Hermanos,Associés|male,Pazifisten,I Collettivi,Coletivo,集体
TEAMNAME_NOUN_DRUID5,嬉皮士,,Hippies,Hippies|male,Hippies,Gli Hippie,Hippies,嬉皮士
TEAMNAME_NOUN_DRUID6,变形者,,Cambiaformas,Métamorphes|male,Gestaltwandler,I Mutaforma,Metamorfos,变形者
TEAMNAME_NOUN_DRUID7,小动物,,Bichos,Créatures|female,Viecher,Le Creaturine|female,Criaturas,小动物
TEAMNAME_NOUN_DRUID8,歌手,,Cantantes,Chanteurs|male,Sänger,I Cantanti,Cantores,歌手
TEAMNAME_NOUN_DRUID9,单数|合唱团,,Coristas,Choristes|female,Chormitglieder,I Coristi,singular|Coro,单数|合唱团
TEAMNAME_NOUN_DRUID10,花童,,Pimpollos,Pacifistes|male,Blumenkinder,I Figli dei Fiori,Floristas,花童
TEAMNAME_NOUN_DRUID11,朋友,,Amigos,Amis|male,Freunde,Gli Amici,Amigos,朋友
TEAMNAME_NOUN_PSYCHIC0,千里眼,,Clarividentes,Éclairés|male,Hellseher,I Chiaroveggenti,Clarividentes,千里眼
TEAMNAME_NOUN_PSYCHIC1,预言者,,Videntes,Prophètes|male,Seher,Gli Indovini,Adivinhadores,预言者
TEAMNAME_NOUN_PSYCHIC2,眼睛,,Ojos,Yeux|male,Augen,Gli Occhi,Olhos,眼睛
TEAMNAME_NOUN_PSYCHIC3,算命师,,Adivinos,Cartomanciens|male,Wahrsager,I Cartomanti,Videntes,算命师
TEAMNAME_NOUN_PSYCHIC4,操纵者,,Manipuladores,Manipulateurs|male,Drahtzieher,I Manipolatori,Manipuladores,操纵者
TEAMNAME_NOUN_PSYCHIC5,读心者,,Pitonisos,Télépathes|male,Gedankenleser,I Sensitivi,Leitores de Mentes,读心者
TEAMNAME_NOUN_PSYCHIC6,骗子,,Timadores,Mystificateurs|male,Trickbetrüger,I Truffatori,Golpistas,骗子
TEAMNAME_NOUN_PSYCHIC7,推销员,,Profetas,Gratte-papiers|male,Löffelverbieger,Gli Spacciatori,Traficantes,推销员
TEAMNAME_NOUN_PSYCHIC8,算命师,,Augures,Chiromanciens|male,Handleser,I Chiromanti,Leitores de Mãos,算命师
TEAMNAME_NOUN_PSYCHIC9,心灵感应者,,Telépatas,Spiritistes|male,Telepathen,I Telepati,Telepatas,心灵感应者
TEAMNAME_NOUN_BUTCHER0,烧烤大师,,Cocineros,Pros du grill|male,Grillmeister,I Maestri della Griglia,Mestres do Churrasco,烧烤大师
TEAMNAME_NOUN_BUTCHER1,暴食者,,Glotones,Gloutons|male,Vielfraße,I Ghiottoni,Glutões,暴食者
TEAMNAME_NOUN_BUTCHER2,胃袋,,Estómagos,Estomacs|male,Schlemmerer,Gli Stomaci,Estômagos,胃袋
TEAMNAME_NOUN_BUTCHER3,猪,,Comilones,Porcelets|male,Schweine,I Porci,Porcos,猪
TEAMNAME_NOUN_BUTCHER4,小猪,,Lechones,Cochons|male,Schweinchen,I Suini,Porquinhos,小猪
TEAMNAME_NOUN_BUTCHER5,屠夫,,Carniceros,Bouchers|male,Metzger,I Macellai,Açougueiros,屠夫
TEAMNAME_NOUN_BUTCHER6,恶魔,,Demonios,Démons|male,Teufel,I Diavoli,Diabos,恶魔
TEAMNAME_NOUN_BUTCHER7,砍头者,,Charcuteros,Côtelettes|female,Chop-Tops,I Decapitatori,Canibais,砍头者
TEAMNAME_NOUN_BUTCHER8,singular|群,,Salchicheros,Puants|male,Insekten,Le Orde|female,singular|Enxame,singular|群
TEAMNAME_NOUN_BUTCHER9,苍蝇,,Matarifes,Mouches|female,Fliegen,Le Mosche|female,Moscas,苍蝇
TEAMNAME_NOUN_BUTCHER10,呕吐者,,Destripadores,Vomitos|male,Schwelger,I Vomitatori,Vomitadores,呕吐者
TEAMNAME_NOUN_BUTCHER11,狂欢者,,Zampones,Boulimique|male,Leckermäulchen,Gli Ingozzatori,Descontrolados,狂欢者
TEAMNAME_NOUN_NECROMANCER0,僵尸,,Zombis,Zombies|male,Zombies,Gli Zombie,Zumbis,僵尸
TEAMNAME_NOUN_NECROMANCER1,骷髅,,Esqueletos,Squelettes|male,Skelette,Gli Scheletri,Esqueletos,骷髅
TEAMNAME_NOUN_NECROMANCER2,水蛭,,Chupasangres,Sangsues|female,Blutsauger,Le Sanguisughe|female,Sanguessugas,水蛭
TEAMNAME_NOUN_NECROMANCER3,吸血鬼,,Vampiros,Suceurs|male,Absauger,I Parassiti,Sugadores,吸血鬼
TEAMNAME_NOUN_NECROMANCER4,死猫,,Gatos Muertos,Morts-vivants|male,Toten Katzen,I Gatti Morti,Gatos Mortos,死猫
TEAMNAME_NOUN_NECROMANCER5,尸体,,Difuntos,Carcasses|female,Leichen,I Corpi,Corpos,尸体
TEAMNAME_NOUN_NECROMANCER6,尸体,,Cadáveres,Cadavres|male,Kadaver,I Cadaveri,Cadáveres,尸体
TEAMNAME_NOUN_NECROMANCER7,异类,,Inadaptados,Marginaux|male,Außenseiter,Gli Emarginati,Desajustados,异类
TEAMNAME_NOUN_NECROMANCER8,蛆虫,,Gusanos,Asticots|male,Maden,Le Larve|female,Vermes,蛆虫
TEAMNAME_NOUN_NECROMANCER9,教徒,,Sectarios,Fanatiques|male,Kultisten,I Seguaci,Cultistas,教徒
TEAMNAME_NOUN_NECROMANCER10,鬼怪,,Espectros,Revenants|male,Gespenster,Gli Spettri,Assustados,鬼怪
TEAMNAME_NOUN_TINKERER0,机器人,,Robots,Robots|male,Roboter,I Robot,Robôs,机器人
TEAMNAME_NOUN_TINKERER1,科学家,,Científicos,Scientifiques|male,Wissenschaftler,Gli Scienziati,Cientistas,科学家
TEAMNAME_NOUN_TINKERER2,工人,,Trabajadores,Travailleurs|male,Arbeiter,Gli Operai,Trabalhadores,工人
TEAMNAME_NOUN_TINKERER3,工具,,Aparatos,Outils|male,Werkzeuge,Gli Strumenti,Ferramentas,工具
TEAMNAME_NOUN_TINKERER4,炸弹,,Explosivos,Bombes|female,Bomben,Le Bombe|female,Bombas,炸弹
TEAMNAME_NOUN_TINKERER5,火花,,Electricistas,Étincelles|female,Funken,I Bagliori,Fagulhas,火花
TEAMNAME_NOUN_TINKERER6,自动机,,Autómatas,Automates|male,Maschinen,Gli Automi,Autômatos,自动机
TEAMNAME_NOUN_TINKERER7,CPU,,Artilugios,Processeurs|male,Prozessoren,Le CPU|female,CPUs,CPU
TEAMNAME_NOUN_TINKERER8,电池,,Circuitos,Batteries|female,Batterien,I Generatori,Pilhas,电池
TEAMNAME_NOUN_TINKERER9,发明家,,Inventores,Inventeurs|male,Erfinder,Gli Inventori,Inventores,发明家
TEAMNAME_NOUN_TINKERER10,书呆子,,Frikis,Nerds|male,Nerds,I Nerd,Nerds,书呆子
TEAMNAME_NOUN_TINKERER11,极客,,Empollones,Geeks|male,Streber,I Secchioni,Geeks,极客
TEAMNAME_NOUN_COLORLESS0,猫,,Gatos,Chats|male,Katzen,I Gatti,Gatos,猫
TEAMNAME_NOUN_COLORLESS1,男孩,,Fulanos,Garçons|male,Jungen,I Ragazzi,Meninos,男孩
TEAMNAME_NOUN_COLORLESS2,女孩,,Mendas,Filles|female,Mädchen,Le Ragazze|female,Meninas,女孩
TEAMNAME_NOUN_JESTER0,小丑,,Bromistas,Bouffons|male,Witzbolde,I Saltimbanchi,Curingas,小丑
TEAMNAME_NOUN_JESTER1,巨魔,,Liantes,Trolls|male,Trolle,I Troll,Trolls,巨魔
TEAMNAME_NOUN_JESTER2,孩子们,,Jóvenes,Enfants|male,Kinder,I Bimbi,Crianças,孩子们
TEAMNAME_NOUN_JESTER3,明星,,Artistas,Étoiles|female,Sterne,Le Stelle|female,Estrelas,明星
TEAMNAME_NOUN_JESTER4,喜剧演员,,Comediantes,Comiques|male,Comedians,I Comici,Comediantes,喜剧演员
TEAMNAME_NOUN_JESTER5,小丑,,Payasos,Clowns|male,Clowns,I Clown,Palhaços,小丑
TEAMNAME_NOUN_JESTER6,弄臣,,Bufones,Fous|male,Narren,I Buffoni,Bobos da Corte,弄臣
TEAMNAME_NOUN_JESTER7,哑剧演员,,Mimos,Mimes|male,Pantomimen,I Mimi,Mímicos,哑剧演员
TEAMNAME_NOUN_JESTER8,万能牌,,Comodines,Zinzolins|male,Joker,I Jolly,Curingas,万能牌
TEAMNAME_NOUN_JESTER9,彩虹,,Arcoíris,Arcs-en-ciel|male,Regenbögen,Gli Arcobaleni,Arcos-Íris,彩虹
TEAMNAME_NOUN_JESTER10,巴拉特罗斯,,Augustos,Balatros|male,Balatros,I Ciarlatani,Bufões,巴拉特罗斯
TEAMNAME_NOUN_JESTER11,笨蛋,,Idiotas,Guignols|male,Dussel,I Pagliacci,Bozos,笨蛋
TEAMNAME_NOUN_MISC0,伙计们,,Tipos,Types|male,Kerle,I Tipi,Caras,伙计们
TEAMNAME_NOUN_MISC1,单数|队伍,,Socios,Coéquipiers|male,Teamplayer,Le Squadre|female,singular|Equipe,单数|队伍
TEAMNAME_NOUN_MISC2,猫,,Gatos,Chats|male,Katzen,I Gatti,Gatos,猫
TEAMNAME_NOUN_MISC3,单数|帮派,,Colegas,Gangsters|male,Grobiane,Gli Schieramenti,singular|Gangue,单数|帮派
TEAMNAME_NOUN_MISC4,小猫,,Gatitos,Chatons|male,Kätzchen,I Gattini,Gatinhos,小猫
TEAMNAME_NOUN_MISC5,猫咪,,Mininos,Chattes|female,Muschis,Le Gattine|female,Filhotinhos de Gato,猫咪
TEAMNAME_NOUN_MISC6,毛球,,Michinos,Boules de poils|female,Fellknäuel,I Pelosetti,Bolas de Pelo,毛球
TEAMNAME_NOUN_MISC7,蓬松者,,Félidos,Poilus|male,Fluffis,I Morbidoni,Velas,蓬松者
TEAMNAME_NOUN_MISC8,召猫者,,Llamagatos,Coquettes|female,Schnatterer,I Fischiatori,Conquistadores,召猫者
TEAMNAME_NOUN_MISC9,加托斯,,Felinos,Gatos|male,Gatos,I Gatos,Gatitos,加托斯
